Date,Open,High,Low,Close,Adj Close,TotalVolume
3/11/2014,236.5,244.6,232.43,234.41,,8836349
3/12/2014,231.5,247.5,231.11,241.49,,9763911
3/13/2014,243.79,244.19,234,237.79,,6236325
3/14/2014,235.29,236.94,228.32,230.97,,8289733
3/17/2014,234.95,237.93,230.5,233.98,,5912592
3/18/2014,236.95,241.5,235.02,240.04,,6242349
3/19/2014,241.39,241.55,233.51,235.84,,5071327
3/20/2014,236.16,239.25,233.36,234.91,,3817905
3/21/2014,236.02,236.2,227.5,228.89,,8227311
3/24/2014,229.75,229.9,210.27,220.17,,11332947
3/25/2014,224.14,227.05,217.9,220.44,,7865375
3/26/2014,221.95,222.6,211.35,212.96,,6907306
3/27/2014,212.37,213.6,203,207.32,,9505307
3/28/2014,212.8,216.72,210.27,212.37,,9684761
3/31/2014,216.5,216.75,206.39,208.45,,8380023
4/1/2014,209.02,218.16,208.58,216.97,,7371422
4/2/2014,220,230.89,218.05,230.29,,10782251
4/3/2014,230.3,235.73,222,225.4,,10923734
4/4/2014,226.01,228.27,211.25,212.23,,11345618
4/7/2014,205.81,216.2,203.51,207.52,,9855478
4/8/2014,210.05,216.49,206.42,215.46,,6889296
4/9/2014,216.76,218.45,210.89,216.93,,5157923
4/10/2014,216.82,217.5,203.79,204.19,,7211492
4/11/2014,200.61,207,198.6,203.78,,9071300
4/14/2014,207.6,208.44,194.41,198.09,,7703031
4/15/2014,199.09,199.29,184.32,193.91,,13667071
4/16/2014,197,199.99,190.82,199.11,,7205319
4/17/2014,199.61,202.29,194.08,198.12,,5929506
4/21/2014,197.08,206.2,194,204.38,,5266490
4/22/2014,206.36,219.33,205.01,218.64,,9809333
4/23/2014,216.33,216.74,207,207.99,,7295609
4/24/2014,210.81,212.8,203.2,207.86,,5504768
4/25/2014,202,206.7,197.65,199.85,,6996658
4/28/2014,200,203.79,190.5,198.51,,7041983
4/29/2014,198.21,207.15,195.53,206.92,,5787369
4/30/2014,203.6,208.16,201.28,207.89,,4443453
5/1/2014,207.08,214.02,205.69,207.73,,5444670
5/2/2014,208.6,211.36,206.52,210.91,,4091394
5/5/2014,209.48,217.69,208.52,216.61,,5152343
5/6/2014,216.6,218.66,206.85,207.28,,5636725
5/7/2014,209.64,210.2,197.25,201.35,,10179291
5/8/2014,182,194.4,178,178.59,,20056592
5/9/2014,179.86,183.4,177.22,182.26,,8495159
5/12/2014,183.87,187.19,179.88,184.67,,7004330
5/13/2014,183.76,191.34,183,190.16,,7097242
5/14/2014,188.95,193.48,187.1,190.62,,5414945
5/15/2014,189.98,192.66,185.3,188.59,,6046139
5/16/2014,188.95,192.04,187.72,191.56,,4489312
5/19/2014,190.72,196.89,190,196.09,,4571660
5/20/2014,196.94,199.33,193.07,195.3,,5553877
5/21/2014,196.18,199.87,194.79,199.45,,5290755
5/22/2014,200.35,206.88,199.56,204.88,,6216255
5/23/2014,204.53,207.76,202.5,207.3,,4010931
5/27/2014,208.52,213.87,207.7,211.56,,5346788
5/28/2014,210.02,212.77,205.26,210.24,,5496278
5/29/2014,210.57,212.49,207.72,210.24,,3694596
5/30/2014,210.3,214.8,207.02,207.77,,5586068
6/2/2014,207.33,209.35,201.67,204.7,,4668115
6/3/2014,203.49,208,202.59,204.94,,3866182
6/4/2014,204.35,206.26,200.4,203.99,,3434502
6/5/2014,204.47,209.2,204.05,206.9,,4059285
6/6/2014,209.75,210.81,207.18,208.17,,3074900
6/9/2014,207.95,209.99,204.2,205.31,,2813066
6/10/2014,204.43,206.97,201.55,202.3,,3522336
6/11/2014,201.5,205,199.25,204.47,,3980491
6/12/2014,205.1,209.88,202.71,203.52,,5997144
6/13/2014,204.78,206.79,201.58,206.42,,3546789
